Class,Return,Leverage
Equity,1612.5,Long
Equity,715.6,Long
Equity,691.2,Long
Equity,652.5,Long
Equity,605.5,Long
Equity,580.7,Long
Equity,505,Long
Equity,483,Long
Equity,464.5,Long
Commodities,452.7,Long
Equity,449.9,Long
Equity,444,Long
Equity,442.6,Long
Equity,440.8,Long
Equity,405.6,Long
Equity,376.4,Long
Equity,374.6,Long
Equity,366.6,Long
Equity,336.3,Long
Equity,330.6,Long
Equity,325.8,Long
Commodities,325.4,Long
Equity,320.6,Long
Equity,319.8,Long
Equity,290.6,Long
Equity,286.9,Long
Equity,283.1,Long
Equity,280.2,Long
Equity,273.4,Long
Equity,263.7,Long
Equity,261.3,Long
Equity,257.9,Long
Equity,255.5,Long
Equity,250.1,Long
Equity,243.6,Long
Equity,240.3,Long
Equity,236.5,Long
Equity,232.8,Long
Equity,232.2,Long
Equity,227,Long
Equity,226.1,Long
Equity,224.3,Long
Equity,213.2,Long
Equity,207.2,Long
Equity,206.9,Long
Equity,204.8,Long
Equity,201.3,Long
Equity,192.1,Long
Equity,190.4,Long
Equity,189.6,Long
Equity,176.6,Long
Equity,176.2,Long
Equity,170.1,Long
Commodities,169.5,Long
Equity,167.3,Long
Equity,163.5,Long
Equity,161.6,Long
Equity,161.2,Long
Equity,160.1,Long
Equity,160,Long
Equity,149.7,Long
Equity,144.3,Long
Equity,142.7,Long
Equity,138.8,Long
Commodities,137.7,Long
Equity,131.6,Long
Equity,130.1,Long
Fixed Income,125.7,Long
Equity,123.3,Long
Equity,122,Long
Equity,121.3,Long
Equity,118.9,Long
Equity,112.5,Long
Equity,112.1,Long
Equity,110.6,Long
Equity,108.6,Long
Equity,107.5,Long
Commodities,101.3,Long
Commodities,101,Long
Equity,99.1,Long
Commodities,96,Long
Equity,93.5,Long
Equity,89.6,Long
Equity,88.5,Long
Equity,88,Long
Equity,82,Long
Fixed Income,80.8,Long
Equity,80.3,Long
Equity,79.9,Long
Equity,79.4,Long
Equity,75.4,Long
Equity,71.6,Long
Equity,69.8,Long
Commodities,68.7,Long
Equity,66.8,Long
Equity,66.1,Long
Equity,64.3,Long
Equity,61.8,Long
Equity,61.7,Long
Alternatives,60.1,Long
Equity,57.7,Long
Equity,56.4,Long
Commodities,52.9,Long
Equity,52.2,Long
Fixed Income,49.9,Long
Equity,45.6,Long
Equity,43.8,Long
Alternatives,43.5,Long
Equity,42.3,Long
Equity,41.7,Long
Equity,41.7,Long
Equity,40.9,Long
Equity,40.6,Long
Equity,39.3,Long
Equity,38.8,Long
Alternatives,38.6,Long
Fixed Income,38.6,Long
Equity,38.3,Long
Equity,37.3,Long
Equity,37.2,Long
Equity,36.4,Long
Equity,36.4,Long
Equity,35.2,Long
Equity,34.3,Long
Equity,33.8,Long
Equity,33.8,Long
Equity,33.7,Long
Equity,33.6,Long
Equity,33,Long
Fixed Income,33,Long
Equity,32.2,Long
Equity,29.4,Long
Commodities,29.1,Long
Equity,27.1,Long
Equity,26.2,Long
Equity,24.6,Long
Commodities,23.6,Long
Equity,23.5,Long
Commodities,23.3,Long
Equity,23.3,Long
Equity,22,Long
Equity,21.8,Long
Equity,21.4,Long
Equity,21,Long
Equity,20.8,Long
Equity,20.4,Long
Equity,19.9,Long
Equity,19.8,Long
Equity,19.7,Long
Equity,19.4,Long
Equity,19.1,Long
Equity,18.7,Long
Equity,18.1,Long
Equity,15.9,Long
Fixed Income,15.8,Long
Equity,15.2,Long
Equity,14.6,Long
Equity,13.3,Long
Equity,12.8,Long
Equity,12.6,Long
Fixed Income,12,Long
Equity,11.8,Long
Equity,11.1,Long
Equity,11,Long
Commodities,10.9,Long
Equity,10.9,Long
Equity,10.6,Long
Equity,10.5,Long
Equity,10.3,Long
Commodities,10.1,Long
Equity,9.7,Long
Equity,8.6,Long
Equity,8.6,Long
Equity,8.6,Long
Commodities,8.5,Long
Fixed Income,8.1,Long
Equity,7.6,Long
Fixed Income,7.4,Long
Equity,7.3,Long
Equity,6.7,Long
Equity,5.6,Long
Fixed Income,5.6,Long
Equity,5.1,Long
Equity,4.2,Long
Commodities,3.7,Long
Equity,2.3,Long
Equity,2.2,Long
Equity,1.8,Long
Equity,-3.4,Long
Equity,-3.7,Long
Alternatives,-4,Long
Alternatives,-4,Long
Commodities,-6.9,Long
Equity,-7.2,Long
Equity,-7.6,Long
Equity,-7.8,Long
Commodities,-8.1,Long
Equity,-9.6,Long
Commodities,-9.9,Long
Commodities,-10.4,Long
Fixed Income,-13.2,Long
Equity,-16.2,Long
Equity,-16.2,Long
Equity,-16.2,Long
Equity,-16.6,Long
Commodities,-17,Long
Equity,-17.1,Long
Fixed Income,-18.7,Long
Equity,-23.9,Long
Equity,-24.9,Long
Equity,-26.2,Long
Equity,-26.4,Long
Fixed Income,-26.6,Long
Equity,-28.2,Long
Equity,-28.5,Long
Equity,-30.1,Long
Equity,-31.4,Long
Equity,-31.4,Long
Equity,-31.4,Long
Equity,-32.8,Long
Fixed Income,-32.8,Long
Equity,-34.1,Long
Commodities,-34.6,Long
Equity,-37,Long
Equity,-38.5,Long
Alternatives,-40.2,Long
Alternatives,-41.2,Long
Equity,-43,Long
Equity,-43.2,Long
Equity,-43.9,Long
Equity,-44.3,Long
Equity,-45.9,Long
Fixed Income,-47.7,Long
Equity,-48.9,Long
Commodities,-51.6,Long
Commodities,-51.8,Long
Equity,-52.4,Long
Equity,-53.1,Long
Equity,-54.3,Long
Equity,-54.9,Long
Equity,-55.4,Long
Equity,-55.9,Long
Equity,-56.7,Long
Equity,-56.9,Long
Equity,-57,Long
Equity,-57.2,Long
Equity,-57.9,Long
Equity,-59,Long
Equity,-59.9,Long
Equity,-60.2,Long
Equity,-62.1,Long
Equity,-63.3,Long
Equity,-65.3,Long
Equity,-65.7,Long
Equity,-65.7,Long
Equity,-66.1,Long
Equity,-67,Long
Equity,-67,Long
Equity,-67.2,Long
Alternatives,-69.1,Long
Equity,-70.3,Long
Equity,-70.8,Long
Equity,-70.9,Long
Equity,-71.3,Long
Equity,-71.4,Long
Commodities,-72.2,Long
Equity,-72.8,Long
Equity,-72.9,Long
Equity,-73,Long
Equity,-73.9,Long
Equity,-74,Long
Equity,-74.2,Long
Equity,-74.3,Long
Equity,-74.6,Long
Equity,-74.7,Long
Equity,-74.9,Long
Equity,-77.9,Long
Equity,-80.2,Long
Equity,-80.8,Long
Equity,-80.9,Long
Equity,-80.9,Long
Equity,-82.1,Long
Equity,-82.2,Long
Equity,-83.3,Long
Equity,-84,Long
Equity,-84.3,Long
Equity,-84.5,Long
Equity,-85.2,Long
Commodities,-85.8,Long
Equity,-86.5,Long
Equity,-88.9,Long
Equity,-89.8,Long
Equity,-91.1,Long
Equity,-92.4,Long
Equity,-93.2,Long
Equity,-94.6,Long
Equity,-95,Long
Equity,-95.7,Long
Equity,-96.5,Long
Equity,-97.1,Long
Commodities,-97.6,Long
Alternatives,-98.1,Long
Equity,-99.6,Long
Equity,472.9,Short
Commodities,239.2,Short
Alternatives,232.2,Short
Commodities,218.1,Short
Equity,193.5,Short
Equity,190.4,Short
Equity,187.3,Short
Equity,167.3,Short
Equity,149.7,Short
Equity,116.8,Short
Equity,111.7,Short
Equity,109.1,Short
Commodities,108.6,Short
Equity,104.1,Short
Equity,103.6,Short
Equity,93.2,Short
Equity,82.5,Short
Equity,80.1,Short
Equity,78.9,Short
Equity,75.4,Short
Commodities,72,Short
Equity,71.9,Short
Equity,69.9,Short
Equity,69.3,Short
Equity,65.8,Short
Commodities,65.4,Short
Equity,63.8,Short
Equity,63.1,Short
Equity,60.6,Short
Alternatives,59.2,Short
Alternatives,58,Short
Equity,57,Short
Equity,55.8,Short
Alternatives,55.5,Short
Equity,54,Short
Fixed Income,53.8,Short
Equity,53.3,Short
Fixed Income,52.9,Short
Equity,51.2,Short
Equity,50.6,Short
Equity,50.3,Short
